Dev Environment,Count
Visual Studio Code,5388
Notepad++,3118
IntelliJ,2955
Visual Studio,2811
Vim,2726
Sublime Text,2352
Android Studio,1829
Eclipse,1723
Atom,1361
PyCharm,1333
Xcode,1096
IPython / Jupyter,1070
PHPStorm,721
NetBeans,569
Emacs,437
RStudio,367
RubyMine,162
TextMate,138
Coda,102
NA,67
Zend,67
Komodo,67
Light Table,48
